category,suspensionType,trimLevels,availableGearRatios,notes
tacoma,ifs,"SR,SR5,TRD Sport,TRD Off-Road,TRD Pro,Limited,Trailhunter","3.58,3.73,3.909,4.10,4.30","IFS front with solid axle rear. 1st gen (1995-2004) used 2.28 transfer case. 2nd-4th gen use 2.566."
fourrunner,ifs,"SR5,Sport,Trail,TRD Off-Road,TRD Pro,Limited,Venture","3.73,4.10","IFS front with solid axle rear. 3rd gen had 2.48 transfer case, 4th-5th gen use 2.566."
jeep,solid_axle,"Sport,Sport S,Sahara,Rubicon,Rubicon 392,Rubicon Xtreme Recon","3.21,3.45,3.73,4.10,4.56,4.88,5.13","Solid axle front (Dana 30/44) and rear (Dana 44). Rubicon models have Dana 44 front/rear with 4.10+."
gladiator,solid_axle,"Sport,Overland,Rubicon,Mojave","3.73,4.10,4.88,5.13","Solid axle front and rear. Same Dana axles as Wrangler JL platform."
bronco,ifs,"Base,Big Bend,Black Diamond,Outer Banks,Badlands,Wildtrak,Raptor","3.73,4.70","IFS front with Dana 44 solid rear axle. Sasquatch package uses 4.70 ratio."
raptor,ifs,"Raptor,Raptor R","4.10,4.70","IFS front with solid rear axle (5-link coil spring). Raptor R uses 4.70 with 37s."
ram,ifs,"Rebel,TRX,Laramie,Longhorn","3.21,3.55,3.92,4.10","Ram 1500: IFS front with solid rear (coil springs). TRX has performance suspension."
ram2500,solid_axle,"Power Wagon,Laramie,Rebel HD","4.10,4.56","Ram 2500/3500: Solid front axle with solid rear. Heavy-duty truck configuration."
landcruiser,ifs,"Base,Heritage Edition,GX Trim,Premium","3.58,3.91,4.10,4.11","IFS front with solid rear. 200 Series has KDSS. New 250 series uses different ratios."
landrover,independent_all,"90,110,X-Dynamic,SE,HSE,Defender V8","3.54,3.73","Fully independent suspension (IFS front, IRS rear) with air suspension standard."
suzuki,solid_axle,"Base,Sport,Adventure","4.62,5.08,5.12,5.38","Traditional solid axle front and rear. Compact off-roaders with high gear ratios."
lexusgx,ifs,"Base,Luxury,Premium","4.30","IFS front with solid rear. Shares platform with 4Runner. Transfer case 2.566."
tundra,ifs,"SR5,Limited,TRD Off-Road,TRD Pro","3.31,3.909,4.30","IFS front with solid rear. 3rd gen (2022+) uses 3.31 with 10-speed. Earlier gens use 4.30."
sequoia,ifs,"SR5,Limited,TRD Sport,TRD Pro","3.90,3.909,4.10,4.30","IFS front with solid rear. Shares platform with Tundra. 3rd gen (2023+) is hybrid."
t100,ifs,"SR5,DX","4.10,4.30,4.70","IFS front with solid rear. 1993-1998 model. Transfer case 2.28."
pickup,ifs,"Base,SR5,DX","4.10,4.30,4.56","1979-1985: Solid front. 1986-1995: IFS front. Transfer case 2.28."
cherokee,solid_axle,"Base,Sport,Limited","3.55,3.73,4.10,4.56","XJ (1984-2001): Solid Dana 30 front, Dana 35 rear. Classic off-roader."
grandcherokee,ifs,"Laredo,Limited,Overland,Trailhawk","3.45,3.55,3.73","WJ/WK/WK2: Independent front. Transfer case 2.72."
ranger,ifs,"XL,XLT,FX4,Tremor","3.55,3.73,4.10,4.46","IFS front with solid rear. 1983-2011 used 2.28 tcase. 2019+ uses 2.72."
f150,ifs,"XL,XLT,Lariat,FX4,Tremor","3.31,3.55,3.73,4.10","IFS front with solid rear. Modern 10-speed auto. Tremor uses 3.06 tcase."
f250,solid_axle,"XLT,Lariat,King Ranch,Tremor","3.55,3.73,4.10,4.30","Solid Dana 60 front, solid rear. Heavy-duty Super Duty platform."
colorado,ifs,"Base,Z71,ZR2,Trail Boss","3.42,3.73,4.10","IFS front with solid rear (except ZR2). ZR2 has solid Dana 44 front."
silverado1500,ifs,"LS,LT,LTZ,Z71,Trail Boss,ZR2","3.08,3.23,3.42,3.73,3.91","IFS front with solid rear. 2023+ ZR2 uses 3.42 tcase low."
silverado2500,solid_axle,"LT,LTZ,High Country,Duramax","3.73,4.10","Solid front and rear. Heavy-duty GM platform. Diesel common with 4.10."
sierra1500,ifs,"SLE,SLT,Denali,AT4,AT4X","3.08,3.23,3.42,3.73,3.91","IFS front with solid rear. Shares platform with Silverado. AT4X uses 3.42 tcase."
sierra2500,solid_axle,"SLE,SLT,Denali","3.73,4.10","Solid front and rear. Shares platform with Silverado 2500HD."
cj,solid_axle,"Base,Renegade,Laredo,Golden Eagle","3.54,3.73,4.10,4.56","Solid Dana 30/44 front, AMC 20 or Dana 44 rear. Dana 20 (2.03) or Dana 300 (2.62) tcase."
yj,solid_axle,"Base,S,Sport,Sahara,Laredo","3.07,3.73,4.10,4.56","Solid Dana 30 front, Dana 35 rear. Transfer case 2.72. Classic leaf springs."
tj,solid_axle,"SE,Sport,Sahara,Rubicon,X","3.07,3.73,4.10,4.56","Solid Dana 30/44 front. Rubicon has Dana 44 front/rear with 4.0 tcase."
